('Total Revenue', '318,273,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         910532 function calls (878176 primitive calls) in 3.060 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    330/1    0.014    0.000    3.060    3.060 {built-in method builtins.exec}
        1    0.000    0.000    3.060    3.060 financial_enhanced.py:1(<module>)
        1    0.000    0.000    2.426    2.426 financial_enhanced.py:9(financial_info)
        1    0.000    0.000    1.997    1.997 _api.py:174(get)
        1    0.000    0.000    1.997    1.997 _api.py:39(request)
       29    0.002    0.000    1.887    0.065 __init__.py:1(<module>)
        1    0.000    0.000    1.367    1.367 _client.py:771(request)
        1    0.000    0.000    1.366    1.366 _client.py:879(send)
        1    0.000    0.000    1.220    1.220 _client.py:930(_send_handling_auth)
        1    0.000    0.000    1.220    1.220 _client.py:964(_send_handling_redirects)
        1    0.000    0.000    1.220    1.220 _client.py:1001(_send_single_request)
        1    0.000    0.000    1.216    1.216 default.py:230(handle_request)
        1    0.000    0.000    1.216    1.216 connection_pool.py:199(handle_request)
        1    0.000    0.000    1.216    1.216 connection.py:69(handle_request)
      136    0.002    0.000    1.173    0.009 http11.py:209(_receive_event)
      180    0.001    0.000    1.157    0.006 sync.py:124(read)
      180    0.000    0.000    1.154    0.006 ssl.py:1278(recv)
      180    0.000    0.000    1.153    0.006 ssl.py:1129(read)
      180    1.153    0.006    1.153    0.006 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.000    0.000    1.035    1.035 http11.py:65(handle_request)
        1    0.000    0.000    1.034    1.034 http11.py:170(_receive_response_headers)
    359/7    0.004    0.000    0.852    0.122 <frozen importlib._bootstrap>:1349(_find_and_load)
    357/6    0.003    0.000    0.852    0.142 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
    332/6    0.002    0.000    0.848    0.141 <frozen importlib._bootstrap>:911(_load_unlocked)
    302/6    0.002    0.000    0.848    0.141 <frozen importlib._bootstrap_external>:1020(exec_module)
   717/12    0.001    0.000    0.840    0.070 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
        1    0.000    0.000    0.629    0.629 _client.py:639(__init__)
        1    0.000    0.000    0.628    0.628 _client.py:718(_init_transport)
        1    0.000    0.000    0.628    0.628 default.py:136(__init__)
        1    0.000    0.000    0.429    0.429 _config.py:23(create_ssl_context)
        1    0.000    0.000    0.414    0.414 ssl.py:682(create_default_context)
        1    0.412    0.412    0.412    0.412 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
        1    0.000    0.000    0.396    0.396 __init__.py:211(__init__)
        1    0.000    0.000    0.396    0.396 __init__.py:653(_feed)
        1    0.000    0.000    0.396    0.396 _htmlparser.py:433(feed)
        1    0.000    0.000    0.395    0.395 parser.py:152(feed)
        2    0.024    0.012    0.395    0.198 parser.py:189(goahead)
        2    0.000    0.000    0.387    0.194 _api.py:1(<module>)
        1    0.000    0.000    0.373    0.373 element.py:1(<module>)
