('Total Revenue', '318,273,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         1158513 function calls (1124402 primitive calls) in 3.667 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   100331    0.023    0.000    0.023    0.000 {method 'append' of 'list' objects}
83051/76497    0.020    0.000    0.022    0.000 {built-in method builtins.len}
72854/72832    0.016    0.000    0.016    0.000 {built-in method builtins.isinstance}
    49809    0.044    0.000    0.044    0.000 {method 'match' of 're.Pattern' objects}
    39347    0.015    0.000    0.015    0.000 {method 'group' of 're.Match' objects}
    35603    0.009    0.000    0.009    0.000 {method 'startswith' of 'str' objects}
    31115    0.009    0.000    0.009    0.000 {method 'get' of 'dict' objects}
    26557    0.013    0.000    0.018    0.000 _parser.py:167(__getitem__)
    26445    0.007    0.000    0.007    0.000 {method 'endswith' of 'str' objects}
    25516    0.006    0.000    0.006    0.000 {method 'end' of 're.Match' objects}
    25318    0.006    0.000    0.006    0.000 {method 'lower' of 'str' objects}
    21592    0.008    0.000    0.008    0.000 _parser.py:239(__next)
20423/11345    0.024    0.000    0.056    0.000 {method 'sub' of 're.Pattern' objects}
    18049    0.009    0.000    0.015    0.000 _markupbase.py:44(updatepos)
    15224    0.002    0.000    0.002    0.000 typing.py:2371(cast)
    14134    0.013    0.000    0.013    0.000 element.py:382(setup)
    13798    0.007    0.000    0.012    0.000 _parser.py:260(get)
    13675    0.002    0.000    0.002    0.000 {built-in method builtins.min}
    13634    0.006    0.000    0.006    0.000 {method 'count' of 'str' objects}
    13375    0.005    0.000    0.005    0.000 {method 'rstrip' of 'str' objects}
12160/12159    0.005    0.000    0.015    0.000 {built-in method builtins.next}
    11641    0.004    0.000    0.006    0.000 _parser.py:163(__len__)
    11010    0.004    0.000    0.060    0.000 parser.py:104(_unescape_attrvalue)
    10930    0.004    0.000    0.007    0.000 _parser.py:255(match)
10660/10625    0.008    0.000    0.029    0.000 typing.py:426(inner)
     9848    0.003    0.000    0.003    0.000 element.py:3090(descendants)
     9789    0.006    0.000    0.022    0.000 filter.py:726(match)
     9783    0.005    0.000    0.006    0.000 {method 'join' of 'str' objects}
     9556    0.016    0.000    0.066    0.000 __init__.py:829(endData)
     9266    0.011    0.000    0.011    0.000 {method 'search' of 're.Pattern' objects}
     9210    0.002    0.000    0.002    0.000 {method 'start' of 're.Match' objects}
     9078    0.008    0.000    0.012    0.000 __init__.py:91(_replace_charref)
     9078    0.004    0.000    0.026    0.000 __init__.py:122(unescape)
     9078    0.011    0.000    0.042    0.000 parser.py:92(_replace_attr_charref)
     7777    0.002    0.000    0.002    0.000 {built-in method builtins.ord}
     6965    0.003    0.000    0.005    0.000 _parser.py:175(append)
5982/5976    0.003    0.000    0.007    0.000 {built-in method builtins.getattr}
     5729    0.002    0.000    0.002    0.000 _parser.py:112(__init__)
5671/5570    0.011    0.000    0.015    0.000 {built-in method __new__ of type object at 0x00007FFF6C2F98A0}
     5314    0.002    0.000    0.002    0.000 {method 'pop' of 'list' objects}
 5167/207    0.027    0.000    0.061    0.000 _compiler.py:37(_compile)
 5126/405    0.010    0.000    0.013    0.000 _parser.py:177(getwidth)
     4878    0.001    0.000    0.001    0.000 element.py:2414(__bool__)
     4876    0.004    0.000    0.014    0.000 filter.py:540(matches_tag)
     4795    0.002    0.000    0.003    0.000 __init__.py:1068(handle_data)
     4772    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
     4763    0.009    0.000    0.021    0.000 __init__.py:870(object_was_parsed)
     4763    0.007    0.000    0.012    0.000 __init__.py:735(string_container)
     4763    0.008    0.000    0.016    0.000 element.py:1478(__new__)
     4624    0.004    0.000    0.007    0.000 _htmlparser.py:222(handle_data)
 4612/246    0.039    0.000    0.112    0.000 _parser.py:511(_parse)
     4608    0.008    0.000    0.010    0.000 __init__.py:812(pushTag)
     4608    0.001    0.000    0.001    0.000 __init__.py:636(set_up_substitutions)
     4608    0.014    0.000    0.058    0.000 element.py:1813(__init__)
     4608    0.002    0.000    0.002    0.000 __init__.py:290(can_be_empty_element)
     4607    0.027    0.000    0.038    0.000 __init__.py:382(_replace_cdata_list_attribute_values)
     4607    0.007    0.000    0.008    0.000 __init__.py:789(popTag)
     4607    0.021    0.000    0.124    0.000 __init__.py:990(handle_starttag)
     4607    0.002    0.000    0.003    0.000 element.py:2007(is_empty_element)
     4607    0.004    0.000    0.016    0.000 parser.py:437(check_for_whole_start_tag)
     4607    0.016    0.000    0.146    0.000 _htmlparser.py:142(handle_starttag)
     4607    0.050    0.000    0.311    0.000 parser.py:389(parse_starttag)
     4607    0.016    0.000    0.076    0.000 _htmlparser.py:204(handle_endtag)
     4607    0.001    0.000    0.001    0.000 _markupbase.py:36(getpos)
     4606    0.010    0.000    0.021    0.000 __init__.py:953(_popToTag)
     4606    0.005    0.000    0.061    0.000 __init__.py:1056(handle_endtag)
     4522    0.001    0.000    0.001    0.000 {method 'keys' of 'dict' objects}
     4466    0.002    0.000    0.004    0.000 {built-in method builtins.max}
     4244    0.001    0.000    0.001    0.000 {method 'find' of 'str' objects}
     4230    0.016    0.000    0.103    0.000 parser.py:447(parse_endtag)
     4230    0.001    0.000    0.001    0.000 parser.py:181(clear_cdata_mode)
     4197    0.001    0.000    0.001    0.000 {built-in method builtins.chr}
     4050    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
     3640    0.002    0.000    0.002    0.000 _parser.py:292(tell)
     3615    0.001    0.000    0.001    0.000 filter.py:259(_base_match)
     3581    0.005    0.000    0.005    0.000 {method 'findall' of 're.Pattern' objects}
     3496    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
     3270    0.033    0.000    0.049    0.000 <frozen importlib._bootstrap_external>:101(_path_join)
     3029    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
     2815    0.002    0.000    0.003    0.000 filter.py:292(matches_string)
     2805    0.005    0.000    0.005    0.000 __init__.py:909(_linkage_fixer)
     2653    0.001    0.000    0.001    0.000 financial_enhanced.py:23(<lambda>)
     2585    0.001    0.000    0.003    0.000 css_parser.py:317(match)
     2542    0.002    0.000    0.002    0.000 {built-in method builtins.hasattr}
     2418    0.002    0.000    0.002    0.000 {method 'rpartition' of 'str' objects}
     2261    0.002    0.000    0.003    0.000 typing.py:1294(_is_dunder)
     1992    0.000    0.000    0.000    0.000 _exceptions.py:7(map_exceptions)
     1812    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:139(<genexpr>)
     1795    0.003    0.000    0.005    0.000 typing.py:1368(__setattr__)
     1765    0.001    0.000    0.001    0.000 {built-in method _imp.acquire_lock}
     1765    0.001    0.000    0.001    0.000 {built-in method _imp.release_lock}
     1655    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
     1641    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
     1585    0.000    0.000    0.000    0.000 _connection.py:224(their_state)
     1538    0.002    0.000    0.003    0.000 {built-in method builtins.setattr}
     1445    0.001    0.000    0.005    0.000 filter.py:629(_match_attribute_value_helper)
     1381    0.001    0.000    0.060    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
     1381    0.058    0.000    0.058    0.000 {built-in method nt.stat}
 1316/941    0.001    0.000    0.001    0.000 {built-in method builtins.hash}
     1218    0.001    0.000    0.001    0.000 {method 'rfind' of 'str' objects}
     1176    0.000    0.000    0.001    0.000 typing.py:1437(__eq__)
 1163/207    0.011    0.000    0.114    0.001 _parser.py:451(_parse_sub)
1149/1143    0.030    0.000    0.119    0.000 {built-in method builtins.__build_class__}
     1109    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
     1087    0.001    0.000    0.003    0.000 _parser.py:311(_class_escape)
     1071    0.001    0.000    0.001    0.000 enum.py:1589(_get_value)
     1053    0.001    0.000    0.002    0.000 _parser.py:171(__setitem__)
     1015    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:1222(__enter__)
     1015    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:1226(__exit__)
     1004    0.001    0.000    0.002    0.000 contextlib.py:136(__enter__)
     1004    0.002    0.000    0.002    0.000 contextlib.py:108(__init__)
     1004    0.001    0.000    0.003    0.000 contextlib.py:303(helper)
     1003    0.001    0.000    0.002    0.000 contextlib.py:145(__exit__)
      943    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      936    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      928    0.001    0.000    0.001    0.000 {built-in method from_bytes}
      920    0.000    0.000    0.000    0.000 {built-in method nt.fspath}
      906    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:89(_unpack_uint32)
      892    0.001    0.000    0.001    0.000 {built-in method fromkeys}
      887    0.000    0.000    0.001    0.000 element.py:2355(get)
      824    0.000    0.000    0.000    0.000 typing.py:1427(<genexpr>)
      810    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
      806    0.000    0.000    0.000    0.000 _parser.py:82(groups)
