('Total Revenue', '318,273,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         1139846 function calls (1105635 primitive calls) in 3.588 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    260/1    0.003    0.000    3.588    3.588 {built-in method builtins.exec}
        1    0.001    0.001    3.588    3.588 financial.py:1(<module>)
        1    0.000    0.000    2.887    2.887 financial.py:9(financial_info)
        1    0.000    0.000    2.222    2.222 api.py:74(get)
        1    0.000    0.000    2.222    2.222 api.py:24(request)
        1    0.000    0.000    2.221    2.221 sessions.py:557(request)
        1    0.000    0.000    2.218    2.218 sessions.py:752(send)
        1    0.000    0.000    1.871    1.871 adapters.py:634(send)
        1    0.000    0.000    1.869    1.869 connectionpool.py:592(urlopen)
        1    0.000    0.000    1.869    1.869 connectionpool.py:377(_make_request)
       22    0.001    0.000    1.746    0.079 __init__.py:1(<module>)
      357    0.001    0.000    1.443    0.004 socket.py:706(readinto)
      357    0.002    0.000    1.441    0.004 ssl.py:1289(recv_into)
      357    0.001    0.000    1.439    0.004 ssl.py:1129(read)
      357    1.438    0.004    1.438    0.004 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.000    0.000    1.120    1.120 connection.py:540(getresponse)
        1    0.000    0.000    1.120    1.120 client.py:1386(getresponse)
        1    0.000    0.000    1.119    1.119 client.py:324(begin)
       52    0.000    0.000    1.117    0.021 {method 'readline' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.953    0.953 client.py:291(_read_status)
        1    0.000    0.000    0.748    0.748 connectionpool.py:1098(_validate_conn)
        1    0.000    0.000    0.748    0.748 connection.py:724(connect)
    311/3    0.004    0.000    0.700    0.233 <frozen importlib._bootstrap>:1349(_find_and_load)
    308/3    0.002    0.000    0.700    0.233 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
    288/3    0.002    0.000    0.698    0.233 <frozen importlib._bootstrap>:911(_load_unlocked)
    258/3    0.001    0.000    0.698    0.233 <frozen importlib._bootstrap_external>:1020(exec_module)
    629/6    0.001    0.000    0.695    0.116 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
        1    0.000    0.000    0.627    0.627 __init__.py:211(__init__)
        1    0.000    0.000    0.627    0.627 __init__.py:653(_feed)
        1    0.000    0.000    0.627    0.627 _htmlparser.py:433(feed)
        1    0.000    0.000    0.627    0.627 parser.py:152(feed)
        2    0.042    0.021    0.627    0.313 parser.py:189(goahead)
        1    0.000    0.000    0.514    0.514 connection.py:901(_ssl_wrap_socket_and_match_hostname)
        1    0.000    0.000    0.508    0.508 ssl_.py:363(ssl_wrap_socket)
        1    0.423    0.423    0.423    0.423 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
     4601    0.061    0.000    0.396    0.000 parser.py:389(parse_starttag)
        1    0.000    0.000    0.367    0.367 element.py:1(<module>)
      324    0.032    0.000    0.358    0.001 {method 'read' of '_io.BufferedReader' objects}
       11    0.002    0.000    0.346    0.031 {method 'join' of 'bytes' objects}
        3    0.000    0.000    0.346    0.115 models.py:1030(content)
      274    0.000    0.000    0.345    0.001 models.py:933(generate)
      274    0.000    0.000    0.344    0.001 response.py:1238(stream)
      274    0.001    0.000    0.344    0.001 response.py:1378(read_chunked)
       45    0.000    0.000    0.328    0.007 response.py:1356(_handle_chunk)
       66    0.000    0.000    0.328    0.005 client.py:635(_safe_read)
    28/15    0.000    0.000    0.319    0.021 {built-in method builtins.__import__}
    79/45    0.000    0.000    0.263    0.006 <frozen importlib._bootstrap>:1390(_handle_fromlist)
      258    0.005    0.000    0.247    0.001 <frozen importlib._bootstrap_external>:1093(get_code)
        1    0.000    0.000    0.244    0.244 formatter.py:1(<module>)
        1    0.000    0.000    0.241    0.241 dammit.py:1(<module>)
        1    0.000    0.000    0.233    0.233 connection.py:198(_new_conn)
        1    0.000    0.000    0.233    0.233 connection.py:27(create_connection)
      323    0.003    0.000    0.187    0.001 __init__.py:330(_compile)
      321    0.000    0.000    0.187    0.001 __init__.py:287(compile)
      258    0.002    0.000    0.186    0.001 <frozen importlib._bootstrap_external>:1214(get_data)
     4601    0.019    0.000    0.185    0.000 _htmlparser.py:142(handle_starttag)
      202    0.001    0.000    0.182    0.001 _compiler.py:743(compile)
        1    0.000    0.000    0.168    0.168 socket.py:960(getaddrinfo)
        1    0.168    0.168    0.168    0.168 {built-in method _socket.getaddrinfo}
        1    0.000    0.000    0.166    0.166 client.py:245(parse_headers)
        1    0.000    0.000    0.165    0.165 client.py:213(_read_headers)
        2    0.001    0.000    0.159    0.080 api.py:1(<module>)
     4601    0.028    0.000    0.158    0.000 __init__.py:990(handle_starttag)
      258    0.145    0.001    0.145    0.001 {built-in method _io.open_code}
     4224    0.019    0.000    0.133    0.000 parser.py:447(parse_endtag)
       93    0.000    0.000    0.114    0.001 __init__.py:71(import_module)
       93    0.000    0.000    0.114    0.001 <frozen importlib._bootstrap>:1375(_gcd_import)
       98    0.000    0.000    0.114    0.001 utils.py:265(is_multi_byte_encoding)
        1    0.000    0.000    0.112    0.112 css.py:1(<module>)
      202    0.001    0.000    0.109    0.001 _parser.py:970(parse)
 1298/202    0.009    0.000    0.107    0.001 _parser.py:451(_parse_sub)
 4795/211    0.037    0.000    0.106    0.001 _parser.py:511(_parse)
     4601    0.020    0.000    0.100    0.000 _htmlparser.py:204(handle_endtag)
        3    0.000    0.000    0.100    0.033 exceptions.py:1(<module>)
     9544    0.028    0.000    0.097    0.000 __init__.py:829(endData)
  994/989    0.019    0.000    0.093    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.092    0.092 css_parser.py:1(<module>)
      306    0.003    0.000    0.087    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
        1    0.000    0.000    0.085    0.085 ssl_.py:461(_ssl_wrap_socket_impl)
        1    0.000    0.000    0.085    0.085 ssl.py:449(wrap_socket)
        1    0.000    0.000    0.085    0.085 ssl.py:990(_create)
        1    0.000    0.000    0.084    0.084 ssl.py:1365(do_handshake)
        1    0.084    0.084    0.084    0.084 {method 'do_handshake' of '_ssl._SSLSocket' objects}
     4600    0.007    0.000    0.080    0.000 __init__.py:1056(handle_endtag)
      286    0.001    0.000    0.080    0.000 <frozen importlib._bootstrap_external>:1551(find_spec)
      286    0.002    0.000    0.079    0.000 <frozen importlib._bootstrap_external>:1522(_get_spec)
    10958    0.005    0.000    0.075    0.000 parser.py:104(_unescape_attrvalue)
      587    0.007    0.000    0.074    0.000 <frozen importlib._bootstrap_external>:1624(find_spec)
        1    0.000    0.000    0.072    0.072 connectionpool.py:1(<module>)
      202    0.000    0.000    0.071    0.000 _compiler.py:576(_code)
        1    0.005    0.005    0.071    0.071 dammit.py:128(_populate_class_variables)
20390/11306    0.029    0.000    0.070    0.000 {method 'sub' of 're.Pattern' objects}
     4602    0.018    0.000    0.066    0.000 element.py:1813(__init__)
        1    0.000    0.000    0.065    0.065 _request_methods.py:1(<module>)
        1    0.065    0.065    0.065    0.065 {method 'connect' of '_socket.socket' objects}
 5576/202    0.024    0.000    0.057    0.000 _compiler.py:37(_compile)
    49574    0.057    0.000    0.057    0.000 {method 'match' of 're.Pattern' objects}
        3    0.000    0.000    0.057    0.019 response.py:1(<module>)
